"DocCount","DocUuid","DocDoi","DocArticleUuid","BibYear","BibSource","BibVolume","BibIssue","BibFirstPage","BibLastPage","CitTreatCitCount","CitFigCitCount","CitTabCitCount"
"1","03BD87E66BAEFF15AF89FB28FD133979","http://doi.org/10.5281/zenodo.4534697","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","208","209","4","4","1"
"1","03BD87E66BB3FF11AF89FD20FD133DFD","http://doi.org/10.5281/zenodo.4537553","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","211","213","10","4","1"
"1","E83387BFFFA5FF865094B705FBFC1D76","http://doi.org/10.5281/zenodo.4565566","140AFFC7FFA6FF805003B276FFCA1F17","2021","Zootaxa","4927","2","212","215","7","3","1"
"1","03BD87E66BB4FF12AF89FBE8FD133E85","http://doi.org/10.5281/zenodo.4534709","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","214","216","3","4","1"
"1","03BD87E66BBCFF1AAF89FD9CFD133931","http://doi.org/10.5281/zenodo.4534736","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","222","224","3","4","1"
"1","03E287EBFFF1FFF0CAB14BF0FC13FE79","http://doi.org/10.5281/zenodo.4694847","FFDBFF93FFF6FFFDCA264B67FF99FFA8","2021","Zootaxa","4952","2","242","248","3","24","4"
"1","6426795AFFD0905FFF5DEC5CFB50C9E3","http://doi.org/10.5281/zenodo.4749933","981F0122FFD79052FFCAE865FFDEC862","2021","Zootaxa","4965","2","251","257","1","15","2"
"1","039CAA64605AFFD1FF633A7CD796FC96","http://doi.org/10.5281/zenodo.4582294","FFA5D21C6059FFD7FFF43E5ED642FFAC","2021","Zootaxa","4938","3","254","257","3","8","2"
"1","9D767B515A0BFFC3C0F7919FF301FC8D","http://doi.org/10.5281/zenodo.4621213","614F03295A09FFCBC0609214F156FFD3","2021","Zootaxa","4948","2","263","268","11","8","3"
"1","03BD87E66A6BFECEAF89FEC8FD1038D1","http://doi.org/10.5281/zenodo.4534821","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","267","268","4","3","1"
